Product_ID,Category,Price,Stock_Level,Weekly_Sales,Sentiment
1,Clothing,25,100,12,Positive
2,Electronics,150,50,8,Neutral
3,Home,45,75,15,Positive
4,Toys,15,200,25,Positive
5,Beauty,35,80,10,Negative
6,Clothing,25,100,12,Positive
7,Electronics,150,50,8,Neutral
8,Home,45,75,15,Positive
9,Toys,15,200,25,Positive
10,Beauty,35,80,10,Negative
11,Clothing,25,100,12,Positive
12,Electronics,150,50,8,Neutral
13,Home,45,75,15,Positive
14,Toys,15,200,25,Positive
15,Beauty,35,80,10,Negative
16,Clothing,25,100,12,Positive
17,Electronics,150,50,8,Neutral
18,Home,45,75,15,Positive
19,Toys,15,200,25,Positive
20,Beauty,35,80,10,Negative
21,Clothing,25,100,12,Positive
22,Electronics,150,50,8,Neutral
23,Home,45,75,15,Positive
24,Toys,15,200,25,Positive
25,Beauty,35,80,10,Negative
26,Clothing,25,100,12,Positive
27,Electronics,150,50,8,Neutral
28,Home,45,75,15,Positive
29,Toys,15,200,25,Positive
30,Beauty,35,80,10,Negative
31,Clothing,25,100,12,Positive
32,Electronics,150,50,8,Neutral
33,Home,45,75,15,Positive
34,Toys,15,200,25,Positive
35,Beauty,35,80,10,Negative
36,Clothing,25,100,12,Positive
37,Electronics,150,50,8,Neutral
38,Home,45,75,15,Positive
39,Toys,15,200,25,Positive
40,Beauty,35,80,10,Negative
41,Clothing,25,100,12,Positive
42,Electronics,150,50,8,Neutral
43,Home,45,75,15,Positive
44,Toys,15,200,25,Positive
45,Beauty,35,80,10,Negative
46,Clothing,25,100,12,Positive
47,Electronics,150,50,8,Neutral
48,Home,45,75,15,Positive
49,Toys,15,200,25,Positive
50,Beauty,35,80,10,Negative
51,Clothing,25,100,12,Positive
52,Electronics,150,50,8,Neutral
53,Home,45,75,15,Positive
54,Toys,15,200,25,Positive
55,Beauty,35,80,10,Negative
56,Clothing,25,100,12,Positive
57,Electronics,150,50,8,Neutral
58,Home,45,75,15,Positive
59,Toys,15,200,25,Positive
60,Beauty,35,80,10,Negative
61,Clothing,25,100,12,Positive
62,Electronics,150,50,8,Neutral
63,Home,45,75,15,Positive
64,Toys,15,200,25,Positive
65,Beauty,35,80,10,Negative
66,Clothing,25,100,12,Positive
67,Electronics,150,50,8,Neutral
68,Home,45,75,15,Positive
69,Toys,15,200,25,Positive
70,Beauty,35,80,10,Negative
71,Clothing,25,100,12,Positive
72,Electronics,150,50,8,Neutral
73,Home,45,75,15,Positive
74,Toys,15,200,25,Positive
75,Beauty,35,80,10,Negative
76,Clothing,25,100,12,Positive
77,Electronics,150,50,8,Neutral
78,Home,45,75,15,Positive
79,Toys,15,200,25,Positive
80,Beauty,35,80,10,Negative
81,Clothing,25,100,12,Positive
82,Electronics,150,50,8,Neutral
83,Home,45,75,15,Positive
84,Toys,15,200,25,Positive
85,Beauty,35,80,10,Negative
86,Clothing,25,100,12,Positive
87,Electronics,150,50,8,Neutral
88,Home,45,75,15,Positive
89,Toys,15,200,25,Positive
90,Beauty,35,80,10,Negative
91,Clothing,25,100,12,Positive
92,Electronics,150,50,8,Neutral
93,Home,45,75,15,Positive
94,Toys,15,200,25,Positive
95,Beauty,35,80,10,Negative
96,Clothing,25,100,12,Positive
97,Electronics,150,50,8,Neutral
98,Home,45,75,15,Positive
99,Toys,15,200,25,Positive
100,Beauty,35,80,10,Negative
